product_id,category,claims,ingredient_tags,pack_size
P001,Electrolyte Drink,"nut-free, clean-label","monk-fruit, oats, collagen",Single
P002,Meal Replacement,"plant-based, halal, kosher, low-sugar","whey, oats",Single
P003,Proten Shake,jain-friendly,monk-fruit,Single
P004,Healthy Snack,vegan,stevia,4-Pack
P005,Meal Replacement,"halal, low-sugar, vegan","whey, stevia",Single
P006,Protein Shake,"gluten-free, halal, kosher",,Single
P007,Supplement,"keto-friendly, plant-based","oats, monk-fruit, soy",12-Pack
P008,Protein bar ,"diabetic-friendly, kosher","stevia, monk-fruit, almond-flour",Single
P009,Electrolyte Drink,clean-label,"collagen, soy",Single
P010,Healthy Snack,"clean-label, vegan, nut-free, kosher","pea-protein, oats, almond-flour",Single
P011,Proten Shake,"kosher, jain-friendly, plant-based",collagen,Single
P012,Healthy Snack,plant-based,"whey, monk-fruit",Single
P013,Electrolyte Drink,"kosher, diabetic-friendly, clean-label","soy, collagen",Single
P014,Protein Shake,"keto-friendly, gluten-free",pea-protein,4-Pack
P015,Meal Replacement,"clean-label, diabetic-friendly","soy, stevia, monk-fruit",Single
P016,Protein Shake,nut-free,soy,Single
P017,Electrolyte Drink,jain-friendly,"collagen, soy",4-Pack
P018,Protein Bar,diabetic-friendly,whey,Single
P019,Meal Replacement,"vegan, halal, high-protein",collagen,12-Pack
P020,Electrolyte Drink,"low-sugar, high-protein","collagen, oats, monk-fruit",4-Pack
P021,Healthy Snack,diabetic-friendly,"whey, soy",Single
P022,Protein Bar,"gluten-free, vegan, clean-label, keto-friendly","oats, whey",Single
P023,Proten Shake,plant-based,soy,4-Pack
P024,Supplement,"gluten-free, kosher","almond-flour, pea-protein",Single
P025,Meal Replacement,"keto-friendly, vegan, low-sugar, diabetic-friendly","pea-protein, whey, soy",4-Pack
P026,Electrolyte Drink,"gluten-free, diabetic-friendly, vegan","almond-flour, whey",4-Pack
P027,Protein Shake,vegan,monk-fruit,12-Pack
P028,Protein Shake,"kosher, plant-based, clean-label, gluten-free",,Single
P029,Proten Shake,high-protein,"almond-flour, pea-protein",12-Pack
P030,Electrolyte Drink,"gluten-free, kosher",oats,Single
P031,Healthy Snack,"diabetic-friendly, jain-friendly",,Single
P032,Protein bar ,gluten-free,almond-flour,Single
P033,Healthy Snack,"clean-label, keto-friendly, high-protein",,Single
P034,Proten Shake,nut-free,soy,Single
P035,Proten Shake,"clean-label, vegan, keto-friendly, jain-friendly","monk-fruit, pea-protein",Single
P036,Protein Bar,high-protein,"oats, whey, pea-protein",4-Pack
P037,Supplement,"halal, keto-friendly, low-sugar","soy, almond-flour",4-Pack
P038,Protein Bar,"high-protein, halal",pea-protein,Single
P039,Protein Shake,"halal, kosher, keto-friendly, nut-free",stevia,4-Pack
P040,Supplement,"high-protein, jain-friendly, nut-free","stevia, almond-flour",Single
P041,Healthy Snack,"high-protein, gluten-free, diabetic-friendly, kosher","whey, oats",Single
P042,Electrolyte Drink,kosher,"whey, collagen",Single
P043,Protein bar ,"diabetic-friendly, high-protein, keto-friendly, clean-label",oats,Single
P044,Supplement,high-protein,,4-Pack
P045,Healthy Snack,"plant-based, kosher, low-sugar","oats, stevia",Single
P046,Supplement,"gluten-free, clean-label",whey,Single
P047,Meal Replacement,low-sugar,collagen,Single
P048,Supplement,"nut-free, kosher, low-sugar","pea-protein, almond-flour, whey",4-Pack
P049,Protein Shake,"high-protein, gluten-free, diabetic-friendly, nut-free",pea-protein,Single
P050,Healthy Snack,"diabetic-friendly, gluten-free, kosher, high-protein","almond-flour, oats, pea-protein",4-Pack
P051,Proten Shake,"vegan, gluten-free, halal","collagen, soy",4-Pack
P052,Healthy Snack,"plant-based, low-sugar, kosher","monk-fruit, oats, almond-flour",Single
P053,Healthy Snack,vegan,stevia,Single
P054,Supplement,"clean-label, jain-friendly, halal, vegan","pea-protein, soy, monk-fruit",12-Pack
P055,,"low-sugar, clean-label",,12-Pack
P056,Proten Shake,"vegan, diabetic-friendly, jain-friendly","oats, monk-fruit, collagen",Single
P057,Supplement,"keto-friendly, gluten-free, jain-friendly","almond-flour, oats",12-Pack
P058,Protein bar ,"vegan, diabetic-friendly, kosher",stevia,Single
P059,Protein Shake,"gluten-free, kosher, low-sugar","monk-fruit, pea-protein",Single
P060,Proten Shake,"clean-label, jain-friendly, kosher","stevia, soy, almond-flour",12-Pack
P061,Supplement,"vegan, high-protein, keto-friendly",,4-Pack
P062,Protein bar ,"clean-label, diabetic-friendly, plant-based","soy, pea-protein",Single
P063,Protein bar ,"low-sugar, keto-friendly, jain-friendly",monk-fruit,12-Pack
P064,Electrolyte Drink,"nut-free, clean-label, diabetic-friendly","oats, monk-fruit, whey",12-Pack
P065,,"nut-free, low-sugar","whey, stevia",Single
P066,Protein bar ,"nut-free, gluten-free, kosher",oats,Single
P067,Supplement,halal,"collagen, almond-flour, oats",Single
P068,Healthy Snack,"keto-friendly, clean-label, gluten-free","pea-protein, oats",Single
P069,Meal Replacement,plant-based,oats,Single
P070,Protein bar ,"high-protein, vegan",monk-fruit,Single
P071,Protein Bar,"plant-based, high-protein, keto-friendly",whey,Single
P072,,"gluten-free, low-sugar, halal, kosher","monk-fruit, stevia",4-Pack
P073,Protein Bar,"jain-friendly, high-protein, halal, keto-friendly","oats, collagen, almond-flour",Single
P074,Proten Shake,"high-protein, gluten-free, clean-label, plant-based",almond-flour,Single
P075,Meal Replacement,"halal, clean-label, gluten-free, vegan","monk-fruit, whey, pea-protein",4-Pack
P076,Meal Replacement,"kosher, gluten-free, plant-based","whey, monk-fruit, almond-flour",Single
P077,Protein Bar,diabetic-friendly,"oats, collagen",12-Pack
P078,,"halal, vegan, keto-friendly, clean-label",whey,Single
P079,Meal Replacement,"plant-based, clean-label, halal",,Single
P080,Healthy Snack,"jain-friendly, clean-label, keto-friendly",whey,Single
P081,Protein Bar,"vegan, nut-free",pea-protein,12-Pack
P082,Protein bar ,nut-free,"oats, almond-flour, soy",Single
P083,Proten Shake,"diabetic-friendly, keto-friendly",oats,4-Pack
